,id,uri,song_name,artist_name,key,mode,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo,valence,duration_ms,time_signature,popularity
1999,6RbOyNeajWax51NtpO6WT8,spotify:track:6RbOyNeajWax51NtpO6WT8,Soweto,Victony,5,0,0.749,0.663,-7.093,0.0379,0.0364,0.000168,0.103,104.967,0.593,148000,4,75
2000,5hVjoL3sHepZROri63wBxP,spotify:track:5hVjoL3sHepZROri63wBxP,It's Plenty,Burna Boy,7,1,0.776,0.565,-10.609,0.36,0.105,8.81e-05,0.308,107.035,0.53,216992,4,74
2001,3nIj7jkWVKKmmKPdhgrddu,spotify:track:3nIj7jkWVKKmmKPdhgrddu,Money & Love,Wizkid,2,1,0.791,0.813,-5.018,0.213,0.0762,0.000341,0.487,97.016,0.845,191505,4,70
2002,5F4OfeowSReF93KcH2eUcG,spotify:track:5F4OfeowSReF93KcH2eUcG,Xtra Cool,Young Jonn,6,0,0.843,0.725,-7.282,0.165,0.0539,0.00357,0.0948,120.0,0.556,150000,4,69
2003,5mXZz0tXIToxu3HRohrdSK,spotify:track:5mXZz0tXIToxu3HRohrdSK,SETE (feat. Young Stunna & Blxckie),K.O,4,0,0.797,0.627,-7.096,0.183,0.0698,0.0,0.156,96.019,0.606,249533,4,65
2004,5CTQCPv51aLWpwTbqo8mEL,spotify:track:5CTQCPv51aLWpwTbqo8mEL,Bandana,Fireboy DML,1,1,0.818,0.605,-7.121,0.293,0.038,0.0116,0.0696,104.931,0.366,178225,4,70
2005,15jFSmRCXoty810W72t7KX,spotify:track:15jFSmRCXoty810W72t7KX,Undenza Ntoni,Boohle,11,0,0.816,0.599,-15.845,0.0197,0.0743,0.236,0.0572,112.002,0.46,466075,4,57
2006,7cFPWLFiE60sdgzPsyydUJ,spotify:track:7cFPWLFiE60sdgzPsyydUJ,Hide & Seek,Stormzy,2,1,0.807,0.376,-7.768,0.379,0.0638,0.00387,0.114,104.908,0.671,209291,4,80
2007,0HaRLPnr887lcQM2YQzkff,spotify:track:0HaRLPnr887lcQM2YQzkff,For My Hand (feat. Ed Sheeran),Burna Boy,9,1,0.87,0.479,-7.779,0.161,0.165,0.000157,0.209,104.059,0.717,159124,4,82
2008,1IiNgs5RGEYyGQFLXJvte5,spotify:track:1IiNgs5RGEYyGQFLXJvte5,In My Mind,BNXN fka Buju,6,0,0.566,0.502,-4.838,0.289,0.373,0.0,0.105,126.122,0.357,138034,5,63
2009,2PDgArI0p7UkeYgXWuqpmh,spotify:track:2PDgArI0p7UkeYgXWuqpmh,Last Last,Burna Boy,3,0,0.795,0.565,-4.457,0.131,0.0948,0.0,0.0802,87.925,0.55,172342,4,76
2010,6fZmsZJAnLXJW7p9KO9hNI,spotify:track:6fZmsZJAnLXJW7p9KO9hNI,Slow,Camidoh,10,0,0.509,0.708,-6.532,0.431,0.258,0.00013,0.183,203.582,0.629,170699,4,58
2011,4vI2KCvXTAPR3vfiWg1J78,spotify:track:4vI2KCvXTAPR3vfiWg1J78,Terminator,Asake,0,1,0.829,0.657,-6.802,0.235,0.0648,5.27e-05,0.0937,116.984,0.811,155897,4,64
2012,1tKsfYB65Kz74yk0HMCdcH,spotify:track:1tKsfYB65Kz74yk0HMCdcH,Running,Ayra Starr,0,1,0.557,0.539,-9.587,0.521,0.0877,0.0,0.101,102.877,0.562,142572,4,64
2013,4lVEVXrlQlXPdYWMGTwrFe,spotify:track:4lVEVXrlQlXPdYWMGTwrFe,Overloading (OVERDOSE),Mavins,0,0,0.546,0.611,-9.459,0.484,0.172,0.00149,0.101,104.059,0.749,205000,4,70
2014,0ApflIvLLPwEZuS36WYlh6,spotify:track:0ApflIvLLPwEZuS36WYlh6,"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,8,1,0.582,0.695,-5.506,0.308,0.0975,5.9e-06,0.112,101.005,0.543,251286,4,69
2015,3BnDvpeuGOj21Ir2aVEtQo,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Calm Down,Rema,11,1,0.814,0.789,-6.29,0.365,0.0405,0.000502,0.137,107.003,0.842,219669,4,78
2016,3baPniPXS0iEII8rDUJdYP,spotify:track:3baPniPXS0iEII8rDUJdYP,Monalisa,Lojay,10,0,0.828,0.726,-6.389,0.106,0.0419,0.00101,0.103,113.017,0.67,212976,4,73
2017,4tr4oHjFijp0EgISHYDIXe,spotify:track:4tr4oHjFijp0EgISHYDIXe,Sip (Alcohol),Joeboy,10,0,0.804,0.615,-7.033,0.404,0.137,0.0,0.0987,100.058,0.816,158400,4,70
2018,2wgvxtggKVzPkl0smF2UzI,spotify:track:2wgvxtggKVzPkl0smF2UzI,Organise,Asake,9,0,0.779,0.79,-6.246,0.0691,0.0612,2.24e-05,0.506,113.064,0.484,123717,4,70
2019,6cWath96kzfqITDd6S0El8,spotify:track:6cWath96kzfqITDd6S0El8,emiliana,CKay,6,1,0.738,0.549,-9.704,0.638,0.0513,0.402,0.111,98.965,0.475,164848,4,71
2020,6oOCGD2Sp9UTcDsuDz8Hdu,spotify:track:6oOCGD2Sp9UTcDsuDz8Hdu,understand,Omah Lay,0,1,0.697,0.653,-7.284,0.166,0.102,0.231,0.0911,99.982,0.627,174545,4,68
2021,3iBYAtES80y9eyhs2bzsrp,spotify:track:3iBYAtES80y9eyhs2bzsrp,Malo We,Nobuhle,0,0,0.665,0.727,-7.426,0.00646,0.0347,0.000482,0.0796,112.986,0.527,352000,4,54
2022,6PqdJb18ssWDcROvnsEqy6,spotify:track:6PqdJb18ssWDcROvnsEqy6,Lemons (Lemonade),AKA,0,1,0.767,0.525,-10.225,0.0386,0.232,2.1e-05,0.0951,98.101,0.478,259592,4,61
2023,7vVs4XCsQyGn1Au3drvo9Z,spotify:track:7vVs4XCsQyGn1Au3drvo9Z,Call Me Every Day (feat. Wizkid),Chris Brown,4,0,0.729,0.634,-7.194,0.115,0.175,1.35e-05,0.0997,171.862,0.772,146840,4,70
2024,5UwxpuGHkwiojKDaPC5ZNu,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,Joha,Asake,1,0,0.819,0.817,-8.221,0.0593,0.0698,0.201,0.275,120.039,0.77,148000,4,71
2025,2IBrgYf3Hjw16c6oNwkZ9M,spotify:track:2IBrgYf3Hjw16c6oNwkZ9M,Dada (feat. Davido) [Remix],Young Jonn,7,0,0.632,0.806,-5.771,0.301,0.155,0.0,0.2,139.124,0.293,177693,3,62
2026,1mJFFeluclL38IwV264lm9,spotify:track:1mJFFeluclL38IwV264lm9,Peace Be Unto You (PBUY),Asake,7,0,0.808,0.769,-7.207,0.101,0.0833,4.12e-05,0.119,116.001,0.685,153103,4,63
2027,6McBvfxgkVfREmQPwTKBUn,spotify:track:6McBvfxgkVfREmQPwTKBUn,Electricity,Pheelz,9,1,0.823,0.717,-3.879,0.0356,0.0704,0.0,0.102,110.998,0.489,132913,4,66
